freq,unit,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,Y16-24,F,RO,,,,,6.0,6.4,6.1,5.9,6.1,6.5,5.9,5.4,3.7,8.3,2015,7.4
A,PC,Y16-24,F,SK,,,4.0,3.7,4.3,3.2,4.0,6.0,4.5,5.4,6.2,5.4,3.5,,2015,6.8
A,PC,Y16-24,M,AT,51.0,4.4,5.1,6.1,4.9,4.1,4.1,6.4,6.5,4.8,4.5,4.4,4.3,,2015,5.9
A,PC,Y16-24,M,CZ,,,8.0,8.7,8.5,5.7,3.3,5.3,6.3,4.9,5.7,4.2,4.1,3.6,2015,4.5
A,PC,Y16-24,M,HU,,,6.0,11.3,10.4,10.9,9.9,9.4,11.2,13.3,12.3,10.2,5.6,2.8,2015,7.2
A,PC,Y16-24,M,PL,,,12.4,11.1,9.0,6.4,5.5,6.7,6.0,6.6,6.4,6.3,3.1,3.4,2015,5.2
A,PC,Y16-24,M,RO,,,,,8.1,8.0,6.5,5.8,5.3,4.8,5.2,5.0,4.4,8.0,2015,5.2
A,PC,Y16-24,M,SK,,,5.0,4.4,5.2,3.6,3.8,5.2,5.4,5.6,7.0,6.1,4.3,,2015,5.7
A,PC,Y16-24,T,AT,54.8,5.1,5.4,6.2,5.2,5.1,5.1,6.5,6.2,5.5,4.6,6.1,5.3,,2015,5.5
A,PC,Y16-24,T,CZ,,,7.2,7.0,7.7,5.5,4.0,5.2,6.0,5.4,6.6,5.0,4.7,3.7,2015,5.1
A,PC,Y16-24,T,HU,,,6.6,10.8,10.5,11.1,9.8,10.1,11.3,13.4,13.2,11.8,5.5,4.3,2015,8.1
A,PC,Y16-24,T,PL,,,12.5,11.4,8.8,6.5,5.3,6.5,5.6,5.9,6.0,6.6,3.2,3.4,2015,5.4
A,PC,Y16-24,T,RO,,,,,7.1,7.2,6.3,5.8,5.7,5.6,5.5,5.2,4.1,8.1,2015,6.3
A,PC,Y16-24,T,SK,,,4.5,4.0,4.8,3.4,3.9,5.6,5.0,5.5,6.6,5.8,3.9,,2015,6.2
A,PC,Y16-29,F,AT,45.3,5.6,6.9,6.1,6.6,6.0,7.2,8.0,7.0,8.1,5.7,8.2,5.7,,2015,7.2
A,PC,Y16-29,F,CZ,,,6.8,6.0,6.6,5.4,4.8,4.7,5.9,6.4,6.9,7.0,6.6,4.1,2015,6.4
A,PC,Y16-29,F,HU,,,5.8,8.8,8.6,10.1,9.1,11.1,11.5,12.8,13.2,12.8,4.8,5.8,2015,8.2
A,PC,Y16-29,F,PL,,,11.9,10.8,7.2,5.4,4.6,5.7,4.8,4.6,5.3,6.6,3.2,3.4,2015,5.3
A,PC,Y16-29,F,RO,,,,,6.2,5.7,5.7,4.8,5.6,6.1,6.0,6.2,4.9,7.4,2015,7.1
A,PC,Y16-29,F,SK,,,4.2,3.8,4.3,3.2,3.7,5.8,4.6,5.2,6.0,5.8,4.1,,2015,6.6
A,PC,Y16-29,M,AT,45.7,5.7,6.7,7.1,5.9,4.8,4.6,6.6,8.2,6.5,5.9,6.3,6.0,,2015,6.6
A,PC,Y16-29,M,CZ,,,6.3,7.3,6.2,4.6,3.2,4.7,5.6,5.5,5.0,4.8,4.6,3.3,2015,4.4
A,PC,Y16-29,M,HU,,,4.8,9.8,8.9,9.2,8.9,8.7,10.4,12.8,12.3,10.3,5.1,3.1,2015,6.6
A,PC,Y16-29,M,PL,,,12.4,10.5,8.5,5.6,5.3,5.7,5.4,5.3,5.9,5.9,3.3,2.9,2015,5.0
A,PC,Y16-29,M,RO,,,,,7.3,6.7,5.4,5.9,5.7,5.8,5.2,5.4,4.4,7.0,2015,6.2
A,PC,Y16-29,M,SK,,,4.5,4.4,4.4,3.3,3.9,5.4,5.3,5.0,6.0,6.0,5.0,,2015,6.1
A,PC,Y16-29,T,AT,45.5,5.6,6.8,6.6,6.2,5.4,5.9,7.3,7.6,7.3,5.8,7.2,5.9,,2015,6.9
A,PC,Y16-29,T,CZ,,,6.5,6.7,6.4,5.0,4.0,4.7,5.7,5.9,5.9,5.8,5.5,3.7,2015,5.4
A,PC,Y16-29,T,HU,,,5.3,9.3,8.8,9.7,9.0,9.9,10.9,12.8,12.7,11.5,4.9,4.4,2015,7.4
A,PC,Y16-29,T,PL,,,12.2,10.6,7.9,5.5,5.0,5.7,5.1,4.9,5.6,6.2,3.3,3.1,2015,5.1
A,PC,Y16-29,T,RO,,,,,6.8,6.2,5.5,5.4,5.6,6.0,5.6,5.8,4.7,7.2,2015,6.6
A,PC,Y16-29,T,SK,,,4.3,4.1,4.4,3.2,3.9,5.6,5.0,5.1,6.0,5.9,4.6,,2015,6.3
A,PC,Y18-24,F,AT,59.2,5.7,5.8,7.1,5.8,5.3,5.3,6.1,6.3,7.7,5.3,7.4,6.7,,2015,4.6
A,PC,Y18-24,F,CZ,,,7.1,4.7,6.0,5.7,4.9,5.0,4.2,5.9,7.5,4.4,5.7,4.5,2015,5.0
A,PC,Y18-24,F,HU,,,7.0,9.6,11.6,12.1,9.5,9.2,11.3,12.9,14.0,13.4,5.8,6.2,2015,8.7
A,PC,Y18-24,F,PL,,,12.8,11.7,8.8,6.9,5.1,6.4,5.5,5.6,5.9,7.2,4.0,3.3,2015,5.5
A,PC,Y18-24,F,RO,,,,,6.5,6.5,5.8,5.9,6.3,7.2,5.9,4.7,2.6,9.3,2015,7.3
A,PC,Y18-24,F,SK,,,4.3,4.0,4.6,3.1,4.0,5.7,4.3,5.1,5.2,5.3,3.6,,2015,6.8
A,PC,Y18-24,M,AT,49.4,4.2,4.6,4.6,4.8,4.1,4.5,6.4,5.1,3.9,4.0,4.2,4.3,,2015,5.4
A,PC,Y18-24,M,CZ,,,7.1,9.7,8.4,4.1,2.4,4.6,5.2,4.6,6.3,4.1,3.1,3.6,2015,4.7
A,PC,Y18-24,M,HU,,,4.3,10.6,10.1,10.3,10.2,8.4,10.3,13.0,12.5,10.4,5.4,2.8,2015,6.2
