freq,unit,incgrp,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,A_MD60,Y15-24,T,CZ,,,5.7,5.3,4.5,6.0,3.0,3.8,4.6,4.4,6.0,5.7,4.7,2.8,2015,4.5
A,PC,A_MD60,Y15-24,T,HU,,,13.1,6.3,6.8,7.1,3.6,6.8,6.8,9.5,8.9,8.1,4.0,3.4,2015,3.9
A,PC,A_MD60,Y15-24,T,PL,,,7.9,5.2,4.2,4.7,3.3,3.4,3.0,4.1,4.9,4.0,1.4,0.9,2015,3.4
A,PC,A_MD60,Y15-24,T,RO,,,,,9.6,10.4,8.3,7.5,5.4,8.1,8.0,6.7,2.9,4.5,2015,5.5
A,PC,A_MD60,Y15-24,T,SK,,,6.1,5.3,10.0,0.6,3.3,2.1,2.9,1.9,2.3,2.7,1.2,,2015,3.4
A,PC,A_MD60,Y15-29,F,AT,,3.6,1.4,2.2,1.6,1.8,1.6,2.2,2.5,3.2,2.1,2.3,2.0,,2015,2.8
A,PC,A_MD60,Y15-29,F,CZ,,,5.6,6.3,5.4,8.3,4.9,5.3,5.8,4.5,7.3,7.1,7.2,4.5,2015,5.5
A,PC,A_MD60,Y15-29,F,HU,,,14.8,8.0,8.4,8.0,4.7,7.7,7.9,10.6,9.2,9.1,5.0,2.4,2015,4.2
A,PC,A_MD60,Y15-29,F,PL,,,8.9,5.9,5.6,4.8,3.7,4.3,4.2,5.1,5.8,5.7,2.1,1.3,2015,4.1
A,PC,A_MD60,Y15-29,F,RO,,,,,8.0,9.9,8.9,8.5,6.3,8.8,7.8,7.0,3.8,4.5,2015,5.7
A,PC,A_MD60,Y15-29,F,SK,,,5.6,6.4,10.7,0.6,4.8,2.6,3.3,2.3,2.5,3.5,1.3,,2015,4.6
A,PC,A_MD60,Y15-29,M,AT,,2.9,1.3,1.6,1.5,2.8,1.3,2.1,1.4,1.9,2.0,1.5,1.3,,2015,1.6
A,PC,A_MD60,Y15-29,M,CZ,,,6.8,7.5,4.9,7.0,4.1,4.3,4.5,4.7,7.3,6.2,5.7,3.5,2015,5.8
A,PC,A_MD60,Y15-29,M,HU,,,12.7,7.0,7.1,6.9,4.0,6.6,7.1,10.3,8.7,7.7,5.4,4.8,2015,3.7
A,PC,A_MD60,Y15-29,M,PL,,,7.4,5.0,4.5,4.0,2.9,3.7,3.0,4.6,4.4,3.9,1.6,1.2,2015,2.8
A,PC,A_MD60,Y15-29,M,RO,,,,,9.7,10.2,8.0,7.9,5.8,8.2,7.2,5.1,2.5,3.9,2015,5.2
A,PC,A_MD60,Y15-29,M,SK,,,6.0,5.2,9.3,1.2,3.0,2.2,2.4,1.9,2.2,3.4,1.5,,2015,3.7
A,PC,A_MD60,Y15-29,T,AT,,3.2,1.3,1.9,1.6,2.3,1.4,2.2,1.9,2.5,2.0,1.9,1.7,,2015,2.1
A,PC,A_MD60,Y15-29,T,CZ,,,6.2,6.9,5.1,7.6,4.5,4.8,5.1,4.6,7.3,6.6,6.4,4.0,2015,5.6
A,PC,A_MD60,Y15-29,T,HU,,,13.7,7.5,7.7,7.4,4.4,7.1,7.5,10.5,8.9,8.4,5.2,3.7,2015,3.9
A,PC,A_MD60,Y15-29,T,PL,,,8.1,5.4,5.0,4.4,3.3,4.0,3.6,4.8,5.1,4.8,1.9,1.3,2015,3.4
A,PC,A_MD60,Y15-29,T,RO,,,,,8.9,10.0,8.5,8.2,6.1,8.5,7.5,6.0,3.2,4.2,2015,5.4
A,PC,A_MD60,Y15-29,T,SK,,,5.8,5.8,10.0,1.0,3.8,2.4,2.8,2.1,2.3,3.5,1.4,,2015,4.1
A,PC,A_MD60,Y16-19,F,AT,,0.7,0.7,1.9,0.2,0.0,0.0,1.1,0.7,0.9,0.6,0.6,0.0,,2015,0.9
A,PC,A_MD60,Y16-19,F,CZ,,,3.1,4.0,3.3,6.1,2.7,3.0,4.8,4.2,4.6,5.3,1.8,1.6,2015,2.6
A,PC,A_MD60,Y16-19,F,HU,,,14.3,6.7,6.5,7.5,2.8,5.2,5.3,5.7,7.9,5.3,4.0,0.3,2015,3.1
A,PC,A_MD60,Y16-19,F,PL,,,7.7,3.4,2.5,3.6,2.1,2.9,1.9,2.5,3.5,4.1,1.5,1.0,2015,1.6
A,PC,A_MD60,Y16-19,F,RO,,,,,7.4,9.6,10.9,6.4,5.1,7.3,8.4,9.0,3.2,2.6,2015,4.7
A,PC,A_MD60,Y16-19,F,SK,,,6.1,6.1,8.6,0.5,4.5,4.0,3.5,2.2,2.2,3.2,1.3,,2015,3.4
A,PC,A_MD60,Y16-19,M,AT,,0.5,0.8,0.0,0.0,0.7,0.0,1.1,0.3,0.2,0.1,1.6,0.0,,2015,0.5
A,PC,A_MD60,Y16-19,M,CZ,,,5.0,8.7,6.2,6.7,2.8,2.8,2.4,2.4,4.9,3.5,4.3,1.9,2015,2.8
A,PC,A_MD60,Y16-19,M,HU,,,13.9,5.6,4.3,5.4,3.0,6.3,5.0,8.3,8.2,7.4,3.0,3.1,2015,6.1
A,PC,A_MD60,Y16-19,M,PL,,,6.6,5.1,3.0,2.9,1.5,1.9,2.4,3.4,4.1,2.0,0.5,0.7,2015,1.7
A,PC,A_MD60,Y16-19,M,RO,,,,,11.2,12.5,6.6,7.1,6.3,9.4,7.6,4.1,1.5,2.3,2015,3.5
A,PC,A_MD60,Y16-19,M,SK,,,7.1,5.7,12.4,0.9,3.2,3.8,3.1,3.1,2.6,3.0,0.5,,2015,3.0
A,PC,A_MD60,Y16-19,T,AT,,0.6,0.7,0.9,0.1,0.4,0.0,1.1,0.5,0.5,0.3,1.2,0.0,,2015,0.7
A,PC,A_MD60,Y16-19,T,CZ,,,4.0,6.3,4.8,6.4,2.8,2.9,3.5,3.2,4.8,4.4,3.1,1.7,2015,2.7
A,PC,A_MD60,Y16-19,T,HU,,,14.1,6.1,5.3,6.4,2.9,5.8,5.1,7.1,8.0,6.4,3.4,1.8,2015,4.6
A,PC,A_MD60,Y16-19,T,PL,,,7.2,4.3,2.8,3.3,1.8,2.4,2.2,2.9,3.8,3.0,1.0,0.9,2015,1.7
A,PC,A_MD60,Y16-19,T,RO,,,,,9.3,11.1,8.7,6.7,5.7,8.3,8.0,6.5,2.4,2.4,2015,4.1
A,PC,A_MD60,Y16-19,T,SK,,,6.6,5.9,10.6,0.7,3.8,3.9,3.3,2.7,2.4,3.1,0.9,,2015,3.2
A,PC,A_MD60,Y16-24,F,AT,,2.7,1.5,1.8,1.0,1.7,0.4,1.0,1.8,2.5,1.2,1.7,1.0,,2015,2.3
A,PC,A_MD60,Y16-24,F,CZ,,,5.4,5.0,4.6,5.6,3.3,4.1,5.2,4.4,6.4,6.8,4.4,3.6,2015,4.6
A,PC,A_MD60,Y16-24,F,HU,,,12.8,7.5,8.1,8.8,3.8,6.9,6.9,9.2,8.2,8.4,5.1,2.5,2015,3.5
A,PC,A_MD60,Y16-24,F,PL,,,9.0,5.7,4.9,5.2,4.1,4.5,4.0,4.4,5.7,4.9,1.6,1.0,2015,4.2
A,PC,A_MD60,Y16-24,F,RO,,,,,8.3,10.5,8.3,7.4,6.1,8.4,7.7,8.0,4.3,6.2,2015,5.3
A,PC,A_MD60,Y16-24,F,SK,,,5.5,5.7,9.6,0.3,3.6,2.7,3.5,1.9,2.2,2.9,1.3,,2015,3.9
A,PC,A_MD60,Y16-24,M,AT,,2.9,1.2,1.4,0.4,2.5,0.9,2.4,0.7,0.9,1.3,1.2,0.5,,2015,1.6
A,PC,A_MD60,Y16-24,M,CZ,,,5.9,5.9,4.5,6.2,2.9,3.5,4.3,4.4,5.0,5.3,4.6,2.4,2015,4.3
A,PC,A_MD60,Y16-24,M,HU,,,12.5,5.4,5.7,6.3,3.0,6.8,6.8,10.3,9.3,7.9,3.1,4.9,2015,4.6
A,PC,A_MD60,Y16-24,M,PL,,,7.3,4.9,3.8,4.5,2.5,2.7,2.5,4.1,4.3,3.3,1.1,1.0,2015,2.8
A,PC,A_MD60,Y16-24,M,RO,,,,,11.2,10.2,8.4,8.3,5.0,8.4,8.9,5.7,2.4,4.5,2015,6.3
A,PC,A_MD60,Y16-24,M,SK,,,6.3,4.6,9.3,0.7,1.9,1.8,2.4,2.0,2.4,2.5,1.3,,2015,2.7
A,PC,A_MD60,Y16-24,T,AT,,2.8,1.4,1.6,0.7,2.1,0.7,1.8,1.2,1.6,1.3,1.4,0.8,,2015,1.9
A,PC,A_MD60,Y16-24,T,CZ,,,5.6,5.5,4.5,5.9,3.1,3.8,4.7,4.4,5.7,6.0,4.5,3.0,2015,4.4
A,PC,A_MD60,Y16-24,T,HU,,,12.6,6.4,6.9,7.5,3.4,6.8,6.8,9.8,8.8,8.1,4.1,3.8,2015,4.1
A,PC,A_MD60,Y16-24,T,PL,,,8.1,5.3,4.4,4.8,3.3,3.6,3.2,4.2,5.0,4.0,1.3,1.0,2015,3.5
A,PC,A_MD60,Y16-24,T,RO,,,,,9.8,10.4,8.4,7.9,5.5,8.4,8.3,6.8,3.4,5.3,2015,5.8
A,PC,A_MD60,Y16-24,T,SK,,,5.9,5.2,9.4,0.5,2.7,2.2,2.9,2.0,2.3,2.7,1.3,,2015,3.3
A,PC,A_MD60,Y16-29,F,AT,,3.6,1.5,2.2,1.8,1.9,1.7,2.3,2.5,3.4,2.2,2.3,2.2,,2015,2.8
A,PC,A_MD60,Y16-29,F,CZ,,,5.8,6.5,5.4,8.4,5.0,5.2,5.9,4.4,7.3,7.3,7.1,4.8,2015,5.6
A,PC,A_MD60,Y16-29,F,HU,,,14.6,8.1,8.5,8.4,4.6,7.8,8.1,10.9,9.0,9.4,5.1,2.6,2015,4.3
A,PC,A_MD60,Y16-29,F,PL,,,8.9,6.1,5.8,4.8,3.7,4.5,4.4,5.1,6.0,5.9,2.1,1.4,2015,4.2
A,PC,A_MD60,Y16-29,F,RO,,,,,8.0,10.0,9.2,8.9,6.6,9.0,7.8,6.9,4.2,5.0,2015,6.1
A,PC,A_MD60,Y16-29,F,SK,,,5.6,6.4,10.2,0.7,4.5,2.8,3.1,2.3,2.6,3.6,1.4,,2015,4.7
A,PC,A_MD60,Y16-29,M,AT,,3.1,1.4,1.6,1.6,3.0,1.3,2.1,1.5,2.0,2.1,1.6,1.4,,2015,1.7
A,PC,A_MD60,Y16-29,M,CZ,,,6.6,7.7,4.9,7.0,4.2,4.4,4.6,4.7,7.2,6.4,5.9,3.6,2015,5.7
A,PC,A_MD60,Y16-29,M,HU,,,12.4,7.1,7.1,7.1,3.9,6.6,7.0,10.4,8.7,7.5,5.6,5.2,2015,3.8
A,PC,A_MD60,Y16-29,M,PL,,,7.6,4.9,4.6,4.0,2.8,3.8,3.1,4.7,4.4,4.0,1.6,1.2,2015,2.9
A,PC,A_MD60,Y16-29,M,RO,,,,,9.8,9.9,7.9,8.1,5.9,8.3,7.5,5.1,2.8,4.4,2015,5.2
A,PC,A_MD60,Y16-29,M,SK,,,5.8,5.1,9.1,1.1,2.5,2.2,2.6,2.0,2.1,3.4,1.6,,2015,3.5
A,PC,A_MD60,Y16-29,T,AT,,3.3,1.4,1.9,1.7,2.4,1.5,2.2,2.0,2.7,2.2,1.9,1.8,,2015,2.2
A,PC,A_MD60,Y16-29,T,CZ,,,6.2,7.1,5.2,7.7,4.6,4.8,5.2,4.6,7.2,6.8,6.4,4.2,2015,5.7
A,PC,A_MD60,Y16-29,T,HU,,,13.5,7.6,7.8,7.7,4.3,7.2,7.6,10.7,8.8,8.4,5.4,3.9,2015,4.0
A,PC,A_MD60,Y16-29,T,PL,,,8.2,5.5,5.2,4.4,3.3,4.1,3.7,4.9,5.2,4.9,1.8,1.3,2015,3.5
A,PC,A_MD60,Y16-29,T,RO,,,,,8.9,10.0,8.5,8.5,6.2,8.6,7.7,6.0,3.5,4.7,2015,5.6
A,PC,A_MD60,Y16-29,T,SK,,,5.7,5.7,9.6,0.9,3.4,2.5,2.8,2.1,2.3,3.5,1.5,,2015,4.1
A,PC,A_MD60,Y18-24,F,AT,,3.0,1.5,1.9,1.3,2.2,0.5,1.3,2.2,3.4,1.3,1.8,1.4,,2015,2.5
A,PC,A_MD60,Y18-24,F,CZ,,,5.4,5.4,5.3,5.1,3.7,4.3,5.1,4.9,7.1,7.5,5.4,4.1,2015,4.9
A,PC,A_MD60,Y18-24,F,HU,,,12.4,7.6,8.8,8.5,4.3,7.5,7.2,9.6,8.0,9.1,6.0,3.0,2015,4.0
A,PC,A_MD60,Y18-24,F,PL,,,9.9,6.3,5.7,5.7,4.5,4.9,4.4,5.1,5.8,5.2,1.4,1.2,2015,4.9
A,PC,A_MD60,Y18-24,F,RO,,,,,9.0,11.2,8.4,8.0,6.2,8.0,8.0,8.6,4.8,7.6,2015,5.4
A,PC,A_MD60,Y18-24,F,SK,,,5.3,6.0,10.2,0.1,3.4,2.3,3.2,1.7,2.4,2.7,1.7,,2015,4.3
A,PC,A_MD60,Y18-24,M,AT,,3.7,1.6,1.7,0.6,3.2,1.2,2.5,0.7,1.1,1.7,1.2,0.7,,2015,1.6
A,PC,A_MD60,Y18-24,M,CZ,,,5.4,5.1,4.1,5.6,2.7,4.1,5.0,4.8,5.3,5.8,5.3,2.7,2015,4.7
A,PC,A_MD60,Y18-24,M,HU,,,12.2,5.4,6.0,6.7,3.3,6.9,6.7,10.4,9.4,7.9,3.1,5.3,2015,3.8
A,PC,A_MD60,Y18-24,M,PL,,,7.4,4.6,3.9,5.1,2.8,3.0,2.6,4.4,4.4,3.3,1.1,1.1,2015,3.0
A,PC,A_MD60,Y18-24,M,RO,,,,,11.5,9.5,8.8,8.9,4.6,8.7,9.1,6.1,2.4,5.1,2015,6.9
A,PC,A_MD60,Y18-24,M,SK,,,5.9,4.0,8.9,0.5,1.3,0.9,2.1,2.2,2.7,2.4,1.8,,2015,2.6
A,PC,A_MD60,Y18-24,T,AT,,3.4,1.6,1.8,0.9,2.8,0.9,1.9,1.4,2.1,1.5,1.5,1.0,,2015,2.0
A,PC,A_MD60,Y18-24,T,CZ,,,5.4,5.3,4.7,5.4,3.2,4.2,5.1,4.9,6.2,6.6,5.4,3.3,2015,4.8
A,PC,A_MD60,Y18-24,T,HU,,,12.3,6.5,7.3,7.5,3.8,7.2,6.9,10.0,8.7,8.5,4.5,4.2,2015,3.9
A,PC,A_MD60,Y18-24,T,PL,,,8.6,5.4,4.8,5.4,3.6,4.0,3.5,4.7,5.1,4.2,1.2,1.1,2015,3.9
A,PC,A_MD60,Y18-24,T,RO,,,,,10.2,10.3,8.7,8.5,5.4,8.3,8.6,7.3,3.6,6.4,2015,6.2
A,PC,A_MD60,Y18-24,T,SK,,,5.6,5.0,9.5,0.3,2.3,1.6,2.6,2.0,2.6,2.5,1.7,,2015,3.4
A,PC,A_MD60,Y18-64,F,AT,,3.3,1.6,1.6,2.0,2.5,2.4,2.2,2.6,2.3,1.9,1.9,1.8,,2015,2.0
A,PC,A_MD60,Y18-64,F,CZ,,,6.8,7.6,6.9,8.7,5.5,5.5,5.9,5.6,7.8,7.1,5.4,4.5,2015,6.1
A,PC,A_MD60,Y18-64,F,HU,,,14.8,7.3,7.4,8.1,5.6,8.2,9.0,11.4,10.0,9.0,5.6,2.8,2015,4.7
A,PC,A_MD60,Y18-64,F,PL,,,9.8,7.1,6.3,5.7,4.2,4.4,4.8,5.1,5.6,5.0,1.9,1.3,2015,4.1
A,PC,A_MD60,Y18-64,F,RO,,,,,10.9,11.8,9.0,9.0,7.2,10.9,9.7,8.2,2.1,2.8,2015,6.7
A,PC,A_MD60,Y18-64,F,SK,,,8.3,9.6,13.1,2.1,5.4,3.6,3.7,3.2,3.8,4.7,1.8,,2015,5.2
A,PC,A_MD60,Y18-64,M,AT,,3.1,1.4,1.7,1.8,2.8,1.6,2.7,2.0,2.0,2.0,1.8,1.3,,2015,1.6
A,PC,A_MD60,Y18-64,M,CZ,,,5.6,6.3,5.7,7.7,4.4,4.7,4.6,4.5,6.6,5.6,4.5,3.6,2015,5.2
A,PC,A_MD60,Y18-64,M,HU,,,12.9,6.4,6.2,6.4,4.3,7.0,7.3,9.6,9.0,7.7,5.4,3.4,2015,4.6
A,PC,A_MD60,Y18-64,M,PL,,,7.8,5.3,4.7,4.3,2.9,3.5,3.6,4.5,4.7,3.9,1.5,1.1,2015,2.9
A,PC,A_MD60,Y18-64,M,RO,,,,,10.6,10.7,8.4,8.1,5.7,8.8,8.0,6.8,2.0,2.3,2015,6.5
A,PC,A_MD60,Y18-64,M,SK,,,6.2,6.6,10.5,1.3,4.0,2.9,3.0,3.0,3.3,4.3,1.3,,2015,4.7
A,PC,A_MD60,Y18-64,T,AT,,3.2,1.5,1.7,1.9,2.6,2.0,2.4,2.3,2.1,1.9,1.8,1.5,,2015,1.8
A,PC,A_MD60,Y18-64,T,CZ,,,6.2,6.9,6.3,8.2,4.9,5.1,5.2,5.1,7.2,6.3,4.9,4.0,2015,5.6
A,PC,A_MD60,Y18-64,T,HU,,,13.9,6.9,6.8,7.3,5.0,7.6,8.2,10.5,9.5,8.3,5.5,3.1,2015,4.6
