freq,quant_inc,coicop,unit,geo,1988,1994,1999,2005,2010,time,values
A,QU1,CP063,PM,RO,,,,2.0,0.0,2015,0.0
A,QU1,CP063,PM,SK,,,,1.0,0.0,2015,0.0
A,QU1,CP07,PM,AT,,148.1,102.0,148.0,108.0,2015,90.0
A,QU1,CP07,PM,CZ,,,,88.0,37.0,2015,46.0
A,QU1,CP07,PM,HU,,,,73.0,54.0,2015,39.0
A,QU1,CP07,PM,PL,,,,38.0,39.0,2015,41.0
A,QU1,CP07,PM,RO,,,,25.0,14.0,2015,14.0
A,QU1,CP07,PM,SK,,,,55.0,23.0,2015,45.0
A,QU1,CP071,PM,AT,,71.0,35.3,62.0,30.0,2015,27.0
A,QU1,CP071,PM,CZ,,,,11.0,3.0,2015,2.0
A,QU1,CP071,PM,HU,,,,22.0,24.0,2015,7.0
A,QU1,CP071,PM,PL,,,,6.0,6.0,2015,4.0
A,QU1,CP071,PM,RO,,,,0.0,0.0,2015,0.0
A,QU1,CP071,PM,SK,,,,7.0,0.0,2015,8.0
A,QU1,CP072,PM,AT,,68.3,58.2,78.0,62.0,2015,51.0
A,QU1,CP072,PM,CZ,,,,59.0,20.0,2015,28.0
A,QU1,CP072,PM,HU,,,,35.0,18.0,2015,22.0
A,QU1,CP072,PM,PL,,,,16.0,21.0,2015,24.0
A,QU1,CP072,PM,RO,,,,9.0,5.0,2015,6.0
A,QU1,CP072,PM,SK,,,,27.0,12.0,2015,24.0
A,QU1,CP073,PM,AT,,8.7,8.5,8.0,16.0,2015,12.0
A,QU1,CP073,PM,CZ,,,,19.0,14.0,2015,16.0
A,QU1,CP073,PM,HU,,,,16.0,12.0,2015,10.0
A,QU1,CP073,PM,PL,,,,16.0,13.0,2015,13.0
A,QU1,CP073,PM,RO,,,,16.0,10.0,2015,8.0
A,QU1,CP073,PM,SK,,,,21.0,11.0,2015,13.0
A,QU1,CP08,PM,AT,,19.4,33.4,29.0,23.0,2015,17.0
A,QU1,CP08,PM,CZ,,,,48.0,49.0,2015,46.0
A,QU1,CP08,PM,HU,,,,54.0,40.0,2015,48.0
A,QU1,CP08,PM,PL,,,,41.0,36.0,2015,39.0
A,QU1,CP08,PM,RO,,,,26.0,25.0,2015,32.0
A,QU1,CP08,PM,SK,,,,41.0,42.0,2015,46.0
